schema|uuid|id|hierarchylevel|title|datasetcreationdate|abstract|keyword|geobox|constraints|securityconstraints|legalconstraints|temporalextent|image|responsibleparty|link|metadatacreationdate|productinformation|parentid
iso19139|7a62f16f-9aeb-4c39-bf5f-e710232fa366|37228|software|Artsfunn||Datasettet inneholder stedfestet informasjon av arter samlet inn av NINA. Funndataene følger datastandarden Darwin Core Archive og distribueres også via Artsdatabankens Artskart , Global Biodiversity Information Facility og GBIF Norge .|Natur,Norge,Svalbard,lav,karplanter,botanikkdata,innsekter,vannlevende innsekter,fisk,vannlevende planter,biologisk mangfold,arter,artsfunn,rødlistearter,fremmede arter,truete arter,artsfordeling|2,33,57,81|||Tilgangsrestriksjoner Andre restriksjoner: Limitation not listed,Andre restriksjonerÅpne data,Åpne data,Brukerrestriksjoner Andre restriksjoner: Limitation not listed,Andre restriksjonerCreative Commons BY 4.0 (CC BY 4.0),Creative Commons BY 4.0 (CC BY 4.0),|0001-01-01now|https://editor.geonorge.no/thumbnails/7a62f16f-9aeb-4c39-bf5f-e710232fa366_20160929151806_mini_artsfunn.PNG,https://editor.geonorge.no/thumbnails/7a62f16f-9aeb-4c39-bf5f-e710232fa366_20160929151806_artsfunn.PNG|Frank HansenNorsk institutt for naturforskningfrank.hanssen@nina.no,Frank HansenNorsk institutt for naturforskningfrank.hanssen@nina.no|https://ipt.nina.no/|2021-03-24|Produktspesifikasjon,Produktark,Produktside,Tegnforklaring,dekningsoversikt,hjelp|
iso19139|79013154-92ee-4647-b160-925cbc148601|21400|dataset|Hav og is - Iskart (shapefil)||Istjenesten ved Meteorologisk institutt utarbeider hver virkedag høyoppløselige iskart over den norsk del av Arktis, og ved behov også for Norskekysten f.eks. Oslofjorden. Kartene viser iskonsentrasjon og er basert på en manuell tolkning av ulike satellittdata.Det benyttes i hovedsak væruavhengige Synthetic Aperture Radar data fra Radarsat-2 og Envisat-satellittene. I tillegg til disse dataene brukes visuelle og infrarøde data fra MODIS og NOAA satellitter.|Oceanographic geographical features,Inspire,Norge digitalt,geodataloven,fellesDatakatalog,Kyst og fiskeri,barentswatch,iskonsentrasjon,ND_DS,barentswatch,National|2.00,33.00,57.00,72.00|Bruksbegrensninger Ingen begrensninger på bruk er oppgitt. ,Ingen begrensninger på bruk er oppgitt.No conditions apply|Sikkerhetsnivå Ugradert: Available for general disclosure|Tilgangsrestriksjoner Andre restriksjoner: Limitation not listed,Andre restriksjonerÅpne data,Åpne data,Brukerrestriksjoner Andre restriksjoner: Limitation not listed,Andre restriksjonerNo conditions apply to access and use,No conditions apply to access and use,Andre restriksjoner ingen ,ingen|0001-01-01now|https://www.geonorge.no/geonetwork/srv/nor/resources.get?uuid=79013154-92ee-4647-b160-925cbc148601&access=public&fname=met_iskart_s.png,https://www.geonorge.no/geonetwork/srv/nor/resources.get?uuid=79013154-92ee-4647-b160-925cbc148601&access=public&fname=met_iskart.png|Meteorologisk instituttistjenesten@met.no,Meteorologisk instituttkristin.lyng@met.no|http://polarview.met.no/|2023-11-15|Produktspesifikasjon,Produktark,Produktside,Tegnforklaring,dekningsoversikt,hjelp,dekningsoversikt rutenett,dekningsoversikt celle|
iso19139|f0083871-0d21-44e2-945f-9de9ea94d484|240|dataset|Losbordingsfelt||Bordingsfelt er angitt som et geografisk punkt i sjøkartetfastsatt av Kystverket. Bordingsposisjonene er også blant annet angitt i den Norske Los, bind 1. Bordingsposisjonen kan avvike fra angitt bordingspunkt,etter rådende værforhold, i henhold til losensanvisninger. Bordingsplassene er lokalisert i forhold til de lokale losstasjonene.|Åpne data,Norge digitalt,modellbaserteVegprosjekter,fellesDatakatalog,Kyst og fiskeri,Norge,Los,Farled,Sjøsikkerhet,Losbording,Losbordingsplass|2.3987,33.2045,57.5765,71.3531||Sikkerhetsnivå Ugradert: Available for general disclosure|Tilgangsrestriksjoner Andre restriksjoner: Limitation not listed,Andre restriksjonerÅpne data,Åpne data,Brukerrestriksjoner Andre restriksjoner: Limitation not listed,Andre restriksjonerNorsk lisens for offentlige data (NLOD) 2.0,Norsk lisens for offentlige data (NLOD) 2.0,|0001-01-01now|https://editor.geonorge.no/thumbnails/f0083871-0d21-44e2-945f-9de9ea94d484_Losbordingsplass.PNG,https://editor.geonorge.no/thumbnails/f0083871-0d21-44e2-945f-9de9ea94d484_Losbordingsplass_s.JPG|Stian AamotKystverket37019700Kystveien 30ArendalAust AgderServiceboks 625, 4809 ArendalNorgestian.aamot@kystverket.no,Kystverket / GeodatatjenestenKystverketgeodatatjenesten@kystverket.no|"javascript:addWMSServerLayers(\https://kystinfo.no\"")"""|2023-11-15|https://register.geonorge.no/register/versjoner/tegneregler/kystverket/losbordingsfeltTegnforklaring,http://153.44.6.23/documents/NorgeDigitalt/Produktspesifikasjoner/Produktspesifikasjonsdokument_KYV_Losbordingsfelt_v.1.0.pdfProduktspesifikasjon,https://register.geonorge.no/register/versjoner/produktark/kystverket/losbordingsfeltProduktark,http://kart.kystverket.no//share/f1269425b8f2Produktside,http://kart.kystverket.no//share/f581bb94f7fadekningsoversikt,hjelp,dekningsoversikt rutenett,dekningsoversikt celle|
iso19139|e379ef5e-8851-4305-b900-44a4587cf14c|21273|dataset|Radnett - doseratemålestasjoner||Datasettet inneholder strålevernets radnettstasjoner - faste overvåkingsstasjoner for radioaktiv doserate i omgivelsene|Norge digitalt,Åpne data,modellbaserteVegprosjekter,fellesDatakatalog,Forurensning,doserate,målestasjon|2,33,57.00000000000001,72|Bruksbegrensninger Ingen begrensninger på bruk er oppgitt. ,Ingen begrensninger på bruk er oppgitt.|Sikkerhetsnivå Ugradert: Available for general disclosure|Tilgangsrestriksjoner Andre restriksjoner: Limitation not listed,Andre restriksjonerÅpne data,Åpne data,Brukerrestriksjoner Andre restriksjoner: Limitation not listed,Andre restriksjonerNorsk lisens for offentlige data (NLOD),Norsk lisens for offentlige data (NLOD),Andre restriksjoner Ingen begrensninger  oppgitt. ,Ingen begrensninger oppgitt.|0001-01-01now|https://editor.geonorge.no/thumbnails/e379ef5e-8851-4305-b900-44a4587cf14c_20160826125252_mini_hvit.PNG,https://editor.geonorge.no/thumbnails/e379ef5e-8851-4305-b900-44a4587cf14c_20160826125252_hvit.PNG|Statens strålevernnrpa@nrpa.no,Direktoratet for strålevern og atomsikkerhetmorten.sickel@nrpa.no,Direktoratet for strålevern og atomsikkerhetmorten.sickel@nrpa.no|https://radnett.dsa.no/index.html|2023-11-15|Produktspesifikasjon,Produktark,Produktside,Tegnforklaring,dekningsoversikt,hjelp,dekningsoversikt rutenett,dekningsoversikt celle|
iso19139|41ccca92-2ae9-43c9-9a45-b3d6424d1633|37251|dataset|Predikert utbredelse og tetthetsfordeling av sjøfugl i åpent hav||Basert på gamle og nye data for forekomst av sjøfugl og en rekke miljøvariabler, vil det fortløpende bli laget habitatmodeller som predikerer utbredelse og tetthetsfordeling til havs for de enkelte arter og sesonger. Denne informasjonen er offentlig tilgjengelig, men foreløpig ikke operasjonalisert på samme måte som kystdataene.|Species distribution,Norge digitalt,modellbaserteVegprosjekter,fellesDatakatalog,Natur,Norge og Svalbard,Sjøfugl|2,33,57,81|Bruksbegrensninger Ingen ,IngenNo conditions apply|Sikkerhetsnivå Ugradert: Available for general disclosure|Tilgangsrestriksjoner Andre restriksjoner: Limitation not listed,Andre restriksjonerÅpne data,Åpne data,Brukerrestriksjoner Andre restriksjoner: Limitation not listed,Andre restriksjonerNo conditions apply to access and use,No conditions apply to access and use,Andre restriksjoner Ingen begrensninger  oppgitt. ,Ingen begrensninger oppgitt.|0001-01-01now|https://www.geonorge.no/geonetwork/srv/nor/resources.get?uuid=41ccca92-2ae9-43c9-9a45-b3d6424d1633&access=public&fname=predikert-utbredelse_s.png,https://www.geonorge.no/geonetwork/srv/nor/resources.get?uuid=41ccca92-2ae9-43c9-9a45-b3d6424d1633&access=public&fname=predikert-utbredelse.png|Norsk institutt for naturforskningfrank.hanssen@nina.no,Norsk institutt for naturforskningfrank.hanssen@nina.no|http://www.seapop.no/no/spread/open-sea/species-results/index.html|2023-11-15|Produktspesifikasjon,Produktark,Produktside,Tegnforklaring,@PATH:https://wms.geonorge.no/wms?@LAYER:dekningsoversikt,hjelp,dekningsoversikt rutenett,dekningsoversikt celle|
iso19139|7a565562-7c75-49eb-8725-2c5ec5d7d564|51|dataset|Business Arrangement Area||Avtalebasert område, er et areal som er et resultat av unitisering, glideskala regler eller andre forretnings arrangement som har forandret betingelsene i den opprinnelige utvinningstillatelsen.|Area management/restriction/regulation zones and reporting units,Inspire,fellesDatakatalog,Energi,Norsk kontinentalsokkel,Norge,forretningsområde,Avtalebasert område,National|1.00,32.00,55.00,75.00|Bruksbegrensninger Legal.The contents on the website of the Norwegian  Petroleum Directorate may be copied and used  free of charge as long as all  material subject to copyright contains a reference  to the source. ,Legal.The contents on the website of the Norwegian Petroleum Directorate may be copied and used free of charge as long as all material subject to copyright contains a reference to the source.Legal.The contents on the website of the Norwegian Petroleum Directorate may be copied and used free of charge as long as all material subject to copyright contains a reference to the source.|Sikkerhetsnivå Ugradert: Available for general disclosure|Tilgangsrestriksjoner Andre restriksjoner: Limitation not listed,Andre restriksjonerÅpne data,Åpne data,Brukerrestriksjoner Andre restriksjoner: Limitation not listed,Andre restriksjonerNorsk lisens for offentlige data (NLOD),Norsk lisens for offentlige data (NLOD),Andre restriksjoner Ingen begrensninger  oppgitt. ,Ingen begrensninger oppgitt.|0001-01-01now|https://www.geonorge.no/geonetwork/srv/nor/resources.get?uuid=7a565562-7c75-49eb-8725-2c5ec5d7d564&access=public&fname=business-areas_s.png,https://www.geonorge.no/geonetwork/srv/nor/resources.get?uuid=7a565562-7c75-49eb-8725-2c5ec5d7d564&access=public&fname=business-areas.png|Sigbjørn DaleSokkeldirektoratetfactweb@sodir.no,Sigbjørn DaleSokkeldirektoratetfactweb@sodir.no|https://www.npd.no/om-oss/informasjonstenester/apne-data/|2024-01-15|Produktspesifikasjon,Produktark,Produktside,Tegnforklaring,dekningsoversikt,hjelp,dekningsoversikt rutenett,dekningsoversikt celle|
iso19139|20b933c3-c17e-41e8-8fc3-ea264b199639|75317|dataset|Radon in indoor air in Norway||The grid cell statistics are based on the national database of indoor radon measurements maintained by the Norwegian Radiation Protection Authority updated to 28th March 2012. Statistical parameters include X (X-co-ordinate of the centre of the cell); Y (Y-co-ordinate of the centre of the cell); N (number of radon concentration data in the cell); am (arithmetic mean Bq/m3); sd (standard deviation associated with am); aml (arithmetic mean of log concentrations); sdl (standard deviation associated with aml); gm (geometric mean); med (median); min (minimum); max (maximum); pct1 (actual percentage of concentrations above 100 Bq/m3); cdf1 (as pct1 but derived from the log-normal distribution of radon values in the cell); bay 1 (as cdf1 but modified using Bayesian statistics on the whole data set); Pct2, cdf2 and bay2 (percentages above 200 Bq/m3); Pct3, cdf3 and bay3 (percentages above 400 Bq/m3)|Annet,modellbaserteVegprosjekter,fellesDatakatalog,Geologi,Network of square areas each measuring 5 km x 5 km,Norway,Norwegian mainland,Radon hazard assessment,Radon in indoor air,Indoor radon concentration,Radon susceptibility mapping,Statistics,Live Data and Maps,Downloadable Data|4.5,31.2,57.9,71.2|Bruksbegrensninger The 5 km x 5 km cell data set  gives a coarse overview of the locations of areas with high indoor radon concentrations and areas with a high frequency of elevated indoor radon concentrations. Therefore the theme is best suited to display at  1:250000 scale or coarser. ,The 5 km x 5 km cell data set gives a coarse overview of the locations of areas with high indoor radon concentrations and areas with a high frequency of elevated indoor radon concentrations. Therefore the theme is best suited to display at 1:250000 scale or coarser.|Sikkerhetsnivå Ugradert: Available for general disclosure|Tilgangsrestriksjoner Andre restriksjoner: Limitation not listed,Andre restriksjonerÅpne data,Åpne data,Brukerrestriksjoner Andre restriksjoner: Limitation not listed,Andre restriksjonerNo conditions apply to access and use,No conditions apply to access and use,Andre restriksjoner Data may be used solely on the condition  that the NRPA is acknowledged as the source of the data. The data must  not be sold or otheerwise used for commercial gain. Redistricution of the data to third  parties is prohibited. ,Data may be used solely on the condition that the NRPA is acknowledged as the source of the data. The data must not be sold or otheerwise used for commercial gain. Redistricution of the data to third parties is prohibited.|0001-01-01now|https://www.geonorge.no/geonetwork/srv/nor/resources.get?uuid=20b933c3-c17e-41e8-8fc3-ea264b199639&access=public&fname=C:\Users\Mark\Documents\Consultancy\Projects\Radon\Straalevern2012\All radon data 28-03-2012 revision\Prague2012\Data density north.jpg|Ingvild FinnegNorwegian Radiation Protection Authority>Researcher and radon database manager+4767162500+4767147407Grini Naeringspark 13Oesteraas1361noingvild.finne@nrpa.no,Direktoratet for strålevern og atomsikkerhet,Mark Andrew SmethurstDirektoratet for strålevern og atomsikkerhetm.a.smethurst@exeter.ac.uk||2023-11-15|Produktspesifikasjon,Produktark,Produktside,Tegnforklaring,dekningsoversikt,hjelp,dekningsoversikt rutenett,dekningsoversikt celle|
iso19139|b6155f32-ed42-4e96-ad64-dd8ab559ecae|106|dataset|Fields||En eller flere petroleumsforekomster samlet som omfattes av en godkjent plan for utbygging og drift (PUD) eller innvilget fritak fra PUD.|Area management/restriction/regulation zones and reporting units,Inspire,modellbaserteVegprosjekter,fellesDatakatalog,Energi,Norsk kontinentalsokkel,olje felt,gass felt,National|1.482833,21.809583,56.171247,71.678353|Bruksbegrensninger Ingen begrensninger på bruk er oppgitt. ,Ingen begrensninger på bruk er oppgitt.No conditions apply|Sikkerhetsnivå Ugradert: Available for general disclosure|Tilgangsrestriksjoner Andre restriksjoner: Limitation not listed,Andre restriksjonerÅpne data,Åpne data,Brukerrestriksjoner Andre restriksjoner: Limitation not listed,Andre restriksjonerNorsk lisens for offentlige data (NLOD),Norsk lisens for offentlige data (NLOD),Andre restriksjoner The contents on the website of the Norwegian Offshore Directorate may be copied and used free of charge as long as all material  subject to copyright contains a reference  to the source. ,The contents on the website of the Norwegian Offshore Directorate may be copied and used free of charge as long as all material subject to copyright contains a reference to the source.|0001-01-01now|https://www.geonorge.no/geonetwork/srv/nor/resources.get?uuid=b6155f32-ed42-4e96-ad64-dd8ab559ecae&access=public&fname=odir_fields_s.png,https://www.geonorge.no/geonetwork/srv/nor/resources.get?uuid=b6155f32-ed42-4e96-ad64-dd8ab559ecae&access=public&fname=odir_fields.png|Sigbjørn DaleSokkeldirektoratetfactweb@sodir.no,Sigbjørn DaleSokkeldirektoratetfactweb@sodir.no|https://www.sodir.no/om-oss/informasjonstenester/apne-data/|2024-01-19|Produktspesifikasjon,Produktark,Produktside,Tegnforklaring,dekningsoversikt,hjelp,dekningsoversikt rutenett,dekningsoversikt celle|
iso19139|9d64dbe8-50e3-4019-a239-f8a9f00ad438|403|dataset|Innretninger||Installerte innretninger|Production and industrial facilities,Inspire,modellbaserteVegprosjekter,fellesDatakatalog,Energi,Norsk kontinentalsokkel,Havbunnsinstallasjoner,National|0.203889,21.273,53.094747,71.611028|Bruksbegrensninger Ingen begrensninger på bruk er oppgitt. ,Ingen begrensninger på bruk er oppgitt.No conditions apply|Sikkerhetsnivå Ugradert: Available for general disclosure|Tilgangsrestriksjoner Andre restriksjoner: Limitation not listed,Andre restriksjonerÅpne data,Åpne data,Brukerrestriksjoner Andre restriksjoner: Limitation not listed,Andre restriksjonerNorsk lisens for offentlige data (NLOD),Norsk lisens for offentlige data (NLOD),Andre restriksjoner The contents on the website of the Norwegian Offshore Directorate may be copied and used free of charge as long as all material  subject to copyright contains a reference  to the source. ,The contents on the website of the Norwegian Offshore Directorate may be copied and used free of charge as long as all material subject to copyright contains a reference to the source.|0001-01-01now|https://www.geonorge.no/geonetwork/srv/nor/resources.get?uuid=9d64dbe8-50e3-4019-a239-f8a9f00ad438&access=public&fname=subsurface_facility_s.png,https://www.geonorge.no/geonetwork/srv/nor/resources.get?uuid=9d64dbe8-50e3-4019-a239-f8a9f00ad438&access=public&fname=subsurface_facility.png|FactpagesNorwegian Petroleum Directorate /  OljedirektoratetData management+4751876000+4751551571Postboks 600StavangerRogaland4003nofactweb@npd.no,Sigbjørn DaleSokkeldirektoratetfactweb@sodir.no,Sigbjørn DaleSokkeldirektoratetfactweb@sodir.no|https://factpages.sodir.no/downloads/shape/fclPoint.zip|2024-01-19|Produktspesifikasjon,Produktark,Produktside,Tegnforklaring,dekningsoversikt,hjelp,dekningsoversikt rutenett,dekningsoversikt celle|
iso19139|283c5da6-3955-469a-9ea8-529adbc901f8|94|dataset|Brønnbaner||Brønnbaner|Geology,Inspire,fellesDatakatalog,Energi,Norwegian Continentel Shelf,Norsk Kontinentalsokkel,exploration wellbore,letebrønnbane,undersøkelsesbrønn,avgrensningsbrønn,National|1.421328,31.011378,56.125597,73.519969|Bruksbegrensninger Ingen begrensninger på bruk er oppgitt. ,Ingen begrensninger på bruk er oppgitt.No conditions apply|Sikkerhetsnivå Ugradert: Available for general disclosure|Tilgangsrestriksjoner Andre restriksjoner: Limitation not listed,Andre restriksjonerÅpne data,Åpne data,Brukerrestriksjoner Andre restriksjoner: Limitation not listed,Andre restriksjonerNorsk lisens for offentlige data (NLOD),Norsk lisens for offentlige data (NLOD),Andre restriksjoner The contents on the website of the Norwegian Offshore Directorate may be copied and used free of charge as long as all material  subject to copyright contains a reference  to the source. ,The contents on the website of the Norwegian Offshore Directorate may be copied and used free of charge as long as all material subject to copyright contains a reference to the source.|0001-01-01now|https://www.geonorge.no/geonetwork/srv/nor/resources.get?uuid=283c5da6-3955-469a-9ea8-529adbc901f8&access=public&fname=expl-wellbores_s.png,https://www.geonorge.no/geonetwork/srv/nor/resources.get?uuid=283c5da6-3955-469a-9ea8-529adbc901f8&access=public&fname=expl-wellbores.png|FactpagesOljedirektoratetData management+4751876000+4751551571Postboks 600StavangerRogaland4003nofactweb@npd.no,Sigbjørn DaleSokkeldirektoratetfactweb@sodir.no,Sigbjørn DaleSokkeldirektoratetfactweb@sodir.no|https://factpages.npd.no/downloads/shape/wlbPoint.zip|2024-01-19|Produktspesifikasjon,Produktark,Produktside,Tegnforklaring,dekningsoversikt,hjelp,dekningsoversikt rutenett,dekningsoversikt celle|
